Stage,Team Name,Goals,Result
Group A,Russia,5,Won
Group A,Saudi Arabia,0,Lost
Group A,Egypt,0,Lost
Group A,Uruguay,1,Won
Group B,Morocco,0,Lost
Group B,IR Iran,1,Won
Group B,Portugal,3,Draw
Group B,Spain,3,Draw
Group C,France,2,Won
Group C,Australia,1,Lost
Group D,Argentina,1,Draw
Group D,Iceland,1,Draw
Group C,Peru,0,Lost
Group C,Denmark,1,Won
Group D,Croatia,2,Won
Group D,Nigeria,0,Lost
Group E,Costa Rica,0,Lost
Group E,Serbia,1,Won
Group F,Germany,0,Lost
Group F,Mexico,1,Won
Group E,Brazil,1,Draw
Group E,Switzerland,1,Draw
Group F,Sweden,1,Won
Group F,Korea Republic,0,Lost
Group G,Belgium,3,Won
Group G,Panama,0,Lost
Group G,Tunisia,1,Lost
Group G,England,2,Won
Group H,Colombia,1,Lost
Group H,Japan,2,Won
Group H,Poland,1,Lost
Group H,Senegal,2,Won
Group A,Russia,3,Won
Group A,Egypt,1,Lost
Group B,Portugal,1,Won
Group B,Morocco,0,Lost
Group A,Uruguay,1,Won
Group A,Saudi Arabia,0,Lost
Group B,IR Iran,0,Lost
Group B,Spain,1,Won
Group C,Denmark,1,Draw
Group C,Australia,1,Won
Group C,France,1,Won
Group C,Peru,0,Lost
Group D,Argentina,0,Lost
Group D,Croatia,3,Won
Group E,Brazil,2,Won
Group E,Costa Rica,0,Lost
Group D,Nigeria,2,Won
Group D,Iceland,0,Lost
Group E,Serbia,1,Lost
Group E,Switzerland,2,Won
Group G,Belgium,5,Won
Group G,Tunisia,2,Lost
Group F,Korea Republic,1,Lost
Group F,Mexico,2,Won
Group F,Germany,2,Won
Group F,Sweden,1,Lost
Group G,England,6,Won
Group G,Panama,1,Lost
Group H,Japan,2,Draw
Group H,Senegal,2,Draw
Group H,Poland,0,Lost
Group H,Colombia,3,Won
Group A,Uruguay,3,Won
Group A,Russia,0,Lost
Group A,Saudi Arabia,2,Won
Group A,Egypt,1,Lost
Group B,Spain,2,Draw
Group B,Morocco,2,Draw
Group B,IR Iran,1,Draw
Group B,Portugal,1,Draw
Group C,Australia,0,Lost
Group C,Peru,2,Won
Group C,Denmark,0,Draw
Group C,France,0,Draw
Group D,Nigeria,1,Lost
Group D,Argentina,2,Won
Group D,Iceland,1,Lost
Group D,Croatia,2,Won
Group F,Korea Republic,2,Won
Group F,Germany,0,Lost
Group F,Mexico,0,Lost
Group F,Sweden,3,Won
Group E,Serbia,0,Lost
Group E,Brazil,2,Won
Group E,Switzerland,2,Draw
Group E,Costa Rica,2,Draw
Group H,Japan,0,Lost
Group H,Poland,1,Won
Group H,Senegal,0,Lost
Group H,Colombia,1,Won
Group G,Panama,1,Lost
Group G,Tunisia,2,Won
Group G,England,0,Lost
Group G,Belgium,1,Won
Round of 16,France,4,Won
Round of 16,Argentina,3,Lost
Round of 16,Uruguay,2,Won
Round of 16,Portugal,1,Lost
Round of 16,Spain,1,Draw
Round of 16,Russia,1,Draw
Round of 16,Croatia,1,Draw
Round of 16,Denmark,1,Draw
Round of 16,Brazil,2,Won
Round of 16,Mexico,0,Lost
Round of 16,Belgium,3,Won
Round of 16,Japan,2,Lost
Round of 16,Sweden,1,Won
Round of 16,Switzerland,0,Lost
Round of 16,Colombia,1,Draw
Round of 16,England,1,Draw
Quarter-finals,Uruguay,0,Lost
Quarter-finals,France,2,Won
Quarter-finals,Brazil,1,Lost
Quarter-finals,Belgium,2,Won
Quarter-finals,Sweden,0,Lost
Quarter-finals,England,2,Won
Quarter-finals,Russia,2,Draw
Quarter-finals,Croatia,2,Draw
Semi-finals,France,1,Won
Semi-finals,Belgium,0,Lost
Semi-finals,Croatia,2,Won
Semi-finals,England,1,Lost
Play-off for third place,Belgium,2,Won
Play-off for third place,England,0,Lost
Final,France,4,Won
Final,Croatia,2,Lost
