name,off,def,spi
Brazil,3.01,0.24,93.13
Spain,2.99,0.41,90.64
France,2.97,0.41,90.45
Germany,3.24,0.56,90.08
Argentina,2.64,0.39,88.1
Portugal,2.83,0.53,87.41
England,2.62,0.45,86.78
Netherlands,2.77,0.62,85.26
Belgium,2.77,0.66,84.56
Italy,2.38,0.48,83.61
Switzerland,2.41,0.6,81.65
Denmark,2.42,0.61,81.52
Mexico,2.17,0.5,80.51
Croatia,2.46,0.69,80.42
Uruguay,2.19,0.54,80
Colombia,2.06,0.47,79.76
USA,2.27,0.63,79.24
Morocco,2.28,0.69,78.02
Ecuador,2.12,0.6,77.6
Czech Republic,2.2,0.68,77.17
Serbia,2.23,0.76,75.89
Canada,2.01,0.63,75.36
Sweden,2.17,0.76,74.79
Japan,1.89,0.58,74.48
Austria,2.18,0.8,74.13
Algeria,2.27,0.88,73.78
Poland,2.1,0.78,73.28
South Korea,1.73,0.54,72.85
Chile,1.93,0.69,72.65
Senegal,1.92,0.68,72.59
Peru,1.96,0.75,71.71
Norway,1.94,0.74,71.68
Iran,1.67,0.62,69.63
Wales,1.77,0.72,68.95
Tunisia,1.63,0.64,68.32
Mali,1.41,0.5,67.37
Ivory Coast,1.76,0.78,67.35
Cameroon,1.69,0.74,66.96
Scotland,1.71,0.76,66.87
Australia,1.81,0.85,66.66
Russia,1.87,0.9,66.62
Venezuela,1.85,0.89,66.48
Ukraine,1.81,0.86,66.47
Egypt,1.56,0.66,66.39
Turkey,2,1.04,65.73
Saudi Arabia,1.61,0.75,65.04
Paraguay,1.7,0.83,64.92
Greece,1.51,0.68,64.88
Rep of Ireland,1.5,0.73,63.3
Nigeria,1.56,0.81,62.48
North Macedonia,1.62,0.93,60.94
Bosnia and Herzegovina,1.57,0.92,60.1
Panama,1.66,1.01,59.87
Basque Country,1.63,1,59.32
Romania,1.6,0.99,59.09
Guatemala,1.52,0.92,58.91
Slovakia,1.64,1.04,58.86
Finland,1.51,0.96,57.86
Bolivia,1.79,1.22,57.69
Costa Rica,1.34,0.82,57.6
New Zealand,1.64,1.09,57.55
Northern Ireland,1.33,0.85,56.48
Bahrain,1.61,1.11,56.38
Qatar,1.56,1.08,56.16
Ghana,1.24,0.78,56.08
Slovenia,1.36,0.91,55.7
Congo DR,1.39,0.99,54.39
Israel,1.8,1.42,53.55
South Africa,1.28,0.93,53.29
Montenegro,1.32,0.97,53.12
Jamaica,1.43,1.08,53.1
Burkina Faso,1.34,1.01,52.9
Georgia,1.3,0.98,52.69
Kosovo,1.55,1.23,52.43
Hungary,1.36,1.05,52.33
Uzbekistan,1.55,1.24,52.27
Albania,1.21,0.92,51.81
Oman,1.27,0.98,51.68
Gabon,1.32,1.09,50.54
United Arab Emirates,1.24,1.03,49.94
Cape Verde Islands,1.17,0.96,49.8
Iceland,1.39,1.19,49.73
Haiti,1.38,1.19,49.37
Uganda,1.25,1.07,49.24
Togo,1.24,1.06,49.11
Honduras,1.29,1.15,48.28
Benin,1.03,0.87,48.22
Bulgaria,1.25,1.14,47.44
Equatorial Guinea,1.1,0.98,47.35
Zambia,1.57,1.52,46.6
Iraq,1.07,1.01,46.05
Angola,1.21,1.19,45.44
Zimbabwe,1.18,1.18,44.93
China PR,1.28,1.32,44.12
Namibia,1.07,1.11,43.78
Guinea,1.16,1.23,43.32
Ethiopia,1.18,1.28,42.93
Curacao,1.17,1.28,42.62
Armenia,1.28,1.42,42.2
Suriname,1.24,1.41,41.5
El Salvador,0.93,1.07,40.92
Tanzania,1.12,1.31,40.71
Kenya,1.09,1.3,40.21
Libya,1.06,1.3,39.37
Congo,1.04,1.29,38.85
Jordan,1.02,1.28,38.82
Belarus,1.15,1.45,38.52
Luxembourg,1.1,1.39,38.34
Guinea-Bissau,1.05,1.37,37.84
Trinidad and Tobago,1.05,1.36,37.74
Botswana,0.81,1.08,37.55
Estonia,1.03,1.35,37.52
Vietnam,0.96,1.33,36.36
Gambia,1.03,1.41,36.34
Comoros,1.12,1.56,35.54
Sierra Leone,1.04,1.48,35.18
Cuba,0.87,1.3,34.39
Sudan,0.9,1.34,34.34
Madagascar,1.06,1.56,34.28
Mozambique,0.89,1.36,33.82
Rwanda,0.75,1.2,33.14
Nicaragua,1.03,1.6,32.77
Syria,1.19,1.81,32.65
Malawi,0.82,1.33,32.55
Azerbaijan,0.88,1.43,32.3
Palestine,0.89,1.46,31.93
Burundi,0.84,1.4,31.9
Central African Republic,1.09,1.75,31.45
Latvia,1.01,1.64,31.44
Lithuania,0.98,1.64,30.74
Mauritania,0.82,1.45,30.46
Swaziland,0.87,1.53,30.17
Kuwait,0.81,1.45,30
Faroe Islands,0.97,1.67,29.96
Cyprus,0.86,1.57,29.25
Niger,1.14,1.95,29.2
Bermuda,1.3,2.18,29.18
Moldova,0.86,1.57,29.13
North Korea,0.87,1.59,28.99
Thailand,0.84,1.59,28.41
Kazakhstan,0.82,1.62,27.29
Martinique,1.06,2,26.77
Kyrgyzstan,1.01,1.93,26.74
Tajikistan,0.89,1.81,25.92
Dominican Republic,0.75,1.6,25.91
Lebanon,0.66,1.52,25.11
Liberia,0.76,1.68,24.97
Malta,0.81,1.78,24.64
St. Kitts and Nevis,0.91,1.99,23.73
Chad,0.82,1.86,23.52
Turkmenistan,0.93,2.04,23.49
South Sudan,0.71,1.74,22.82
Guyana,1.03,2.28,22.28
Lesotho,0.7,1.79,21.77
Zanzibar,0.49,1.47,21.39
Fiji,0.66,1.78,21.26
India,0.64,1.73,21.25
Solomon Islands,0.75,2.02,19.97
Eritrea,0.79,2.1,19.77
Puerto Rico,0.71,1.99,19.56
Tahiti,0.77,2.19,18.23
Antigua and Barbuda,0.89,2.42,17.86
Grenada,0.54,1.82,17.8
New Caledonia,0.69,2.17,16.84
Sao Tome and Principe,0.83,2.43,16.72
Hong Kong,0.41,1.72,15.92
Malaysia,0.69,2.3,15.51
Montserrat,0.82,2.54,15.46
Vanuatu,0.64,2.21,15.4
Belize,0.64,2.26,14.96
Philippines,0.59,2.19,14.76
Barbados,0.52,2.05,14.71
Dominica,0.51,2.04,14.71
St. Vincent and the Grenadines,0.62,2.28,14.42
Mauritius,0.62,2.29,14.39
Andorra,0.44,1.92,14.39
Afghanistan,0.59,2.35,13.29
St. Lucia,0.47,2.19,12.3
Singapore,0.57,2.4,12.29
French Guiana,0.66,2.58,12.28
Papua New Guinea,0.69,2.65,12.25
Indonesia,0.73,2.76,12.01
Yemen,0.42,2.15,11.81
Nepal,0.54,2.42,11.64
Gibraltar,0.42,2.44,9.5
Guadeloupe,0.55,2.75,9.43
Liechtenstein,0.44,2.56,8.98
Somalia,0.51,2.81,8.44
Djibouti,0.64,3.32,7.18
Seychelles,0.39,2.77,7.01
Aruba,0.54,3.25,6.45
Myanmar,0.53,3.32,5.97
Bahamas,0.47,3.22,5.81
Cayman Islands,0.36,2.95,5.68
Mongolia,0.22,2.63,5.37
Maldives,0.38,3.11,5.29
San Marino,0.32,2.95,5.29
Bangladesh,0.2,2.81,4.44
Chinese Taipei,0.45,3.59,4.23
Cambodia,0.35,3.31,4.21
Bonaire,0.44,3.58,4.17
Guam,0.5,4.06,3.22
Northern Mariana Islands,0.47,4.22,2.72
Sri Lanka,0.28,4,2
Brunei,0.23,3.86,1.95
St. Martin,0.29,4.13,1.88
Pakistan,0.2,3.92,1.71
Laos,0.2,4.07,1.49
Anguilla,0.23,4.22,1.47
US Virgin Islands,0.2,4.25,1.28
British Virgin Islands,0.27,4.57,1.2
Bhutan,0.22,4.62,0.98
Turks and Caicos Islands,0.46,5.62,0.87
Cook Islands,0.2,4.72,0.85
Tuvalu,0.38,5.62,0.7
Timor-Leste,0.26,5.33,0.62
Macau,0.2,5.11,0.6
Sint Maarten,0.22,5.59,0.43
Samoa,0.2,5.78,0.34
Tonga,0.2,6.08,0.26
